iter	Logloss
0	0.6726422983
1	0.6548156632
2	0.6371968725
3	0.6217219454
4	0.6147210849
5	0.6008711269
6	0.5897845698
7	0.5815529112
8	0.5679823231
9	0.5587153134
10	0.5481355649
11	0.5401763025
12	0.532804369
13	0.5251469302
14	0.5207028416
15	0.5136191212
16	0.5072335121
17	0.5058500355
18	0.5006898384
19	0.4976744391
20	0.4922573256
21	0.4881584863
22	0.4839138181
23	0.4793133561
24	0.4774190999
25	0.4739972193
26	0.4713346196
27	0.4688021229
28	0.4665898316
29	0.4634226328
30	0.4611924298
31	0.4600848485
32	0.4585608793
33	0.4570794629
34	0.4560846547
35	0.454386616
36	0.4538018975
37	0.4517448708
38	0.4510260619
39	0.4499933931
40	0.4483999357
41	0.446743084
42	0.4453917428
43	0.445303381
44	0.4436449353
45	0.442113526
46	0.4413578001
47	0.4407765481
48	0.4398119827
49	0.4393514437
50	0.4393101312
51	0.4381117946
52	0.438077299
53	0.4376947575
54	0.4371869397
55	0.4364837689
56	0.4357377918
57	0.4352235069
58	0.4349919835
59	0.4341307922
60	0.4334203084
61	0.4331152944
62	0.4331028666
63	0.4330913791
64	0.4327144213
65	0.4327048015
66	0.4320328456
67	0.4311106886
68	0.4306189696
69	0.4303380069
70	0.4299483588
71	0.4297449523
72	0.4296097138
73	0.4286675896
74	0.4284128095
75	0.4282988222
76	0.4275142948
77	0.4269929407
78	0.426785314
79	0.4265988934
80	0.4264482969
81	0.4262721558
82	0.4262706693
83	0.4258801054
84	0.4257879916
85	0.4255747721
86	0.4254381296
87	0.4254372644
88	0.4252292262
89	0.4250788616
90	0.4250782304
91	0.42506352
92	0.4246743116
93	0.4244707038
94	0.4242424221
95	0.4240215969
96	0.423935871
97	0.4236176108
98	0.4232361801
99	0.422802414
100	0.4225009811
101	0.4221618887
102	0.4220691804
103	0.421979947
104	0.4219799178
105	0.4217904478
106	0.4215686403
107	0.4214127609
108	0.4213269028
109	0.4211594424
110	0.4209874519
111	0.4208290427
112	0.4208274827
113	0.4207323625
114	0.420732358
115	0.4207323539
116	0.4204749632
117	0.4202631649
118	0.4200059521
119	0.4198596098
120	0.4196437046
121	0.4195488967
122	0.4194590624
123	0.4192329611
124	0.419177205
125	0.4189480284
126	0.4189081898
127	0.418829002
128	0.4187755985
129	0.4187098068
130	0.4187098062
131	0.4185104843
132	0.4184805835
133	0.4184805835
134	0.4184517724
135	0.4183434769
136	0.4181324432
137	0.4179520268
138	0.4179520215
139	0.4177705682
140	0.4177503618
141	0.4177252619
142	0.4175757027
143	0.4175651851
144	0.4174184356
145	0.4174184263
146	0.4172834099
147	0.4172834089
148	0.4172180607
149	0.4171841329
150	0.4171489064
151	0.417148896
152	0.4171488895
153	0.4170682828
154	0.4170429978
155	0.4170429937
156	0.4170429866
157	0.4167364123
158	0.4163543435
159	0.416137775
160	0.4161133106
161	0.4160913871
162	0.4160409193
163	0.4159895811
164	0.4158116021
165	0.4157488904
166	0.4157488884
167	0.4157488797
168	0.4156631898
169	0.4155211537
170	0.4154212482
171	0.4153844502
172	0.4153386933
173	0.4153308479
174	0.415330844
175	0.4150727992
176	0.4150591139
177	0.4149728949
178	0.4148255052
179	0.4148074446
180	0.4145574979
181	0.4144153723
182	0.4142186153
183	0.41421817
184	0.4140511969
185	0.4140310303
186	0.4137918495
187	0.4137918325
188	0.4137918185
189	0.4137815734
190	0.4136681301
191	0.4135708106
192	0.4134269602
193	0.4134269473
194	0.4134269449
195	0.4134269339
196	0.413305836
197	0.4132264006
198	0.4130680214
199	0.4126217046
200	0.4126127815
201	0.4126127726
202	0.4125864548
203	0.4125282392
204	0.4123975509
205	0.4123636226
206	0.4123069493
207	0.4123069479
208	0.4122277944
209	0.4121960057
210	0.4121383092
211	0.4121373472
212	0.4121347584
213	0.4121232172
214	0.4119177262
215	0.4119058153
216	0.4119058132
217	0.4119052197
218	0.4119037284
219	0.4119037221
220	0.4119037218
221	0.4116645684
222	0.4115832497
223	0.4114238532
224	0.4113442125
225	0.4113383764
226	0.41132367
227	0.4113231932
228	0.4112332503
229	0.4111957398
230	0.4111957388
231	0.4110925992
232	0.4109707521
233	0.4109707471
234	0.4109707439
235	0.410909221
236	0.4108372906
237	0.4106440826
238	0.4104144202
239	0.4103174506
240	0.4102523606
241	0.4102515974
242	0.4101067542
243	0.4099493204
244	0.409846777
245	0.4098052486
246	0.4095785651
247	0.4095613757
248	0.4094126045
249	0.4093194349
250	0.4091709158
251	0.4090936624
252	0.4088809056
253	0.4088261633
254	0.4086609447
255	0.4084321487
256	0.4084047313
257	0.4083627668
258	0.4083060762
259	0.4082829202
260	0.4081978567
261	0.4081516049
262	0.4077422427
263	0.4076995009
264	0.4073649431
265	0.4072092607
266	0.4070158297
267	0.4068969557
268	0.406725696
269	0.4065182447
270	0.4065020167
271	0.4062267127
272	0.4061121488
273	0.4058978876
274	0.4057865639
275	0.4055789312
276	0.4053382011
277	0.4051431785
278	0.405015538
279	0.4048842089
280	0.4047060012
281	0.4046010028
282	0.4044069641
283	0.4042670057
284	0.4039754859
285	0.4036609914
286	0.4035186957
287	0.4032212226
288	0.4030088505
289	0.4028827067
290	0.4026707756
291	0.4024580788
292	0.4020774046
293	0.4019612145
294	0.401817976
295	0.4016831333
296	0.4013291991
297	0.4011316902
298	0.4009919405
299	0.4007616771
