iter	Passed	Remaining
0	45	13684
1	123	18444
2	174	17301
3	227	16839
4	252	14915
5	303	14891
6	356	14930
7	380	13890
8	434	14058
9	453	13153
10	491	12918
11	529	12717
12	551	12170
13	594	12148
14	615	11700
15	661	11743
16	696	11589
17	709	11111
18	753	11145
19	778	10899
20	824	10956
21	872	11026
22	921	11097
23	968	11138
24	995	10953
25	1040	10965
26	1105	11180
27	1138	11064
28	1161	10853
29	1230	11078
30	1298	11268
31	1334	11176
32	1385	11209
33	1422	11128
34	1442	10921
35	1467	10764
36	1494	10622
37	1538	10610
38	1578	10560
39	1639	10656
40	1676	10591
41	1719	10560
42	1758	10512
43	1782	10368
44	1826	10348
45	1875	10358
46	1913	10298
47	1952	10251
48	1992	10205
49	2011	10059
50	2024	9884
51	2089	9967
52	2124	9898
53	2168	9876
54	2192	9766
55	2226	9701
56	2284	9739
57	2332	9731
58	2355	9620
59	2402	9611
60	2444	9577
61	2474	9498
62	2500	9407
63	2513	9270
64	2543	9196
65	2556	9065
66	2613	9089
67	2673	9120
68	2704	9053
69	2742	9012
70	2771	8938
71	2797	8859
72	2823	8778
73	2866	8754
74	2905	8715
75	2927	8627
76	2970	8603
77	3014	8580
78	3045	8519
79	3067	8434
80	3088	8351
81	3120	8294
82	3134	8195
83	3183	8185
84	3211	8123
85	3257	8106
86	3295	8067
87	3316	7988
88	3335	7907
89	3355	7828
90	3367	7734
91	3397	7680
92	3443	7665
93	3497	7665
94	3552	7665
95	3600	7651
96	3639	7617
97	3665	7555
98	3699	7511
99	3741	7482
100	3765	7419
101	3828	7431
102	3913	7484
103	3961	7465
104	3975	7382
105	4017	7353
106	4064	7331
107	4085	7263
108	4126	7230
109	4148	7165
110	4192	7139
111	4214	7074
112	4250	7033
113	4292	7003
114	4310	6934
115	4328	6865
116	4367	6831
117	4433	6838
118	4499	6843
119	4553	6830
120	4592	6794
121	4632	6758
122	4656	6701
123	4695	6665
124	4720	6608
125	4762	6576
126	4784	6517
127	4833	6495
128	4874	6461
129	4923	6438
130	4936	6368
131	4982	6340
132	5003	6282
133	5016	6214
134	5064	6189
135	5140	6198
136	5197	6184
137	5259	6174
138	5277	6112
139	5340	6103
140	5387	6075
141	5423	6034
142	5451	5985
143	5472	5929
144	5518	5899
145	5531	5834
146	5575	5802
147	5587	5738
148	5613	5689
149	5648	5648
150	5669	5594
151	5682	5533
152	5695	5472
153	5744	5445
154	5788	5414
155	5800	5353
156	5811	5293
157	5851	5258
158	5904	5235
159	5940	5197
160	5968	5152
161	5993	5105
162	6035	5072
163	6056	5022
164	6104	4994
165	6126	4945
166	6139	4889
167	6160	4840
168	6181	4791
169	6219	4755
170	6265	4726
171	6318	4702
172	6373	4678
173	6400	4635
174	6415	4582
175	6458	4550
176	6488	4509
177	6519	4468
178	6568	4440
179	6599	4399
180	6647	4370
181	6691	4338
182	6731	4303
183	6750	4255
184	6793	4222
185	6811	4174
186	6865	4148
187	6882	4100
188	6899	4051
189	6930	4012
190	6968	3976
191	7010	3943
192	7070	3919
193	7086	3872
194	7117	3832
195	7134	3785
196	7189	3758
197	7235	3727
198	7302	3706
199	7388	3694
200	7415	3652
201	7432	3605
202	7482	3575
203	7511	3534
204	7574	3510
205	7636	3484
206	7666	3444
207	7684	3398
208	7737	3369
209	7783	3335
210	7832	3303
211	7857	3261
212	7881	3219
213	7908	3178
214	7953	3144
215	7971	3100
216	7983	3053
217	7999	3008
218	8033	2971
219	8049	2927
220	8066	2883
221	8140	2860
222	8162	2818
223	8207	2784
224	8250	2750
225	8288	2713
226	8331	2679
227	8366	2642
228	8414	2608
229	8442	2569
230	8454	2525
231	8499	2491
232	8549	2458
233	8563	2415
234	8576	2372
235	8617	2336
236	8646	2298
237	8693	2264
238	8735	2229
239	8782	2195
240	8813	2157
241	8838	2118
242	8898	2087
243	8960	2056
244	9005	2021
245	9047	1986
246	9093	1951
247	9133	1915
248	9177	1879
249	9227	1845
250	9271	1810
251	9315	1774
252	9360	1738
253	9407	1703
254	9457	1668
255	9506	1633
256	9556	1598
257	9579	1559
258	9619	1522
259	9637	1482
260	9677	1446
261	9697	1406
262	9750	1371
263	9784	1334
264	9835	1299
265	9881	1263
266	9923	1226
267	9966	1189
268	10004	1152
269	10045	1116
270	10094	1080
271	10178	1047
272	10248	1013
273	10314	978
274	10361	941
275	10420	906
276	10478	870
277	10520	832
278	10563	795
279	10605	757
280	10646	719
281	10695	682
282	10740	645
283	10787	607
284	10832	570
285	10878	532
286	10923	494
287	10968	457
288	11013	419
289	11066	381
290	11137	344
291	11193	306
292	11246	268
293	11303	230
294	11356	192
295	11408	154
296	11451	115
297	11508	77
298	11575	38
299	11620	0
